Country ISO3,Country Name,Indicator Id,Indicator,Subindicator Type,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
AUT,Austria,28159,Global Gender Gap Economic Participation and Opportunity Subindex,Index,0.5526,0.5824,0.5872,0.5701,0.5952,0.6245,0.6515,0.6642,0.6704,0.705,0.65,0.66,0.6579999999999999,0.659,0.665
AUT,Austria,28161,Global Gender Gap Educational Attainment Subindex,Index,0.9802,0.9802,0.9886,0.9886,0.9886,0.9886,0.9946,1.0,1.0,1.0,0.987,0.988,1.0,1.0,1.0
AUT,Austria,28163,Global Gender Gap Health and Survival Subindex,Index,0.9796,0.9796,0.9796,0.9796,0.9787,0.9787,0.9787,0.9787,0.9789,0.98,0.98,0.975,0.9740000000000001,0.9740000000000001,0.9790000000000001
BEL,Belgium,27959,Overall Global Gender Gap Index,Index,0.7078,0.7198,0.7163,0.7165,0.7509,0.7531,0.7652,0.7684,0.7809,0.753,0.745,0.7390000000000001,0.738,0.75,0.789
BEL,Belgium,27961,Global Gender Gap Political Empowerment subindex,Index,0.2319,0.2319,0.2431,0.2431,0.3244,0.3241,0.3664,0.3664,0.3948,0.275,0.275,0.264,0.264,0.313,0.48
BEL,Belgium,28159,Global Gender Gap Economic Participation and Opportunity Subindex,Index,0.6199,0.6684,0.6519,0.653,0.7097,0.7187,0.7241,0.7367,0.7577,0.762,0.731,0.716,0.7140000000000001,0.7140000000000001,0.7090000000000001
BEL,Belgium,28161,Global Gender Gap Educational Attainment Subindex,Index,1.0,1.0,0.991,0.991,0.9909,0.9909,0.9918,0.9918,0.9921,1.0,1.0,1.0,1.0,1.0,1.0
BEL,Belgium,28163,Global Gender Gap Health and Survival Subindex,Index,0.9796,0.9789,0.9789,0.9789,0.9787,0.9787,0.9787,0.9787,0.9789,0.9740000000000001,0.9740000000000001,0.976,0.973,0.973,0.97
BFA,Burkina Faso,27959,Overall Global Gender Gap Index,Index,0.5853,0.5912,0.6029,0.6081,0.6162,0.6153,0.6455,0.6513,0.65,0.6509999999999999,0.64,0.6459999999999999,0.629,0.635,0.6509999999999999
BFA,Burkina Faso,27961,Global Gender Gap Political Empowerment subindex,Index,0.084,0.084,0.0971,0.0971,0.1098,0.1097,0.0897,0.0914,0.1117,0.083,0.068,0.075,0.075,0.08900000000000001,0.066
BFA,Burkina Faso,28159,Global Gender Gap Economic Participation and Opportunity Subindex,Index,0.6387,0.6313,0.6377,0.6395,0.6383,0.6266,0.7376,0.7467,0.722,0.721,0.7140000000000001,0.716,0.623,0.614,0.6890000000000001
BFA,Burkina Faso,28161,Global Gender Gap Educational Attainment Subindex,Index,0.6456,0.6798,0.7068,0.726,0.7485,0.7563,0.7864,0.7987,0.7988,0.831,0.809,0.8290000000000001,0.853,0.873,0.873
BFA,Burkina Faso,28163,Global Gender Gap Health and Survival Subindex,Index,0.9733,0.9699,0.9699,0.9699,0.9685,0.9685,0.9685,0.9685,0.9673,0.9670000000000001,0.9670000000000001,0.963,0.963,0.963,0.975
BGD,Bangladesh,27959,Overall Global Gender Gap Index,Index,0.6269,0.6314,0.6531,0.6526,0.6702,0.6812,0.6684,0.6848,0.6973,0.7040000000000001,0.698,0.7190000000000001,0.721,0.726,0.7190000000000001
BGD,Bangladesh,27961,Global Gender Gap Political Empowerment subindex,Index,0.2673,0.2673,0.3098,0.2939,0.3378,0.3591,0.3804,0.4036,0.4055,0.433,0.462,0.493,0.526,0.545,0.546
BGD,Bangladesh,28159,Global Gender Gap Economic Participation and Opportunity Subindex,Index,0.423,0.4374,0.4436,0.4552,0.4732,0.4932,0.4799,0.4954,0.4774,0.462,0.41,0.465,0.441,0.43799999999999994,0.418
BGD,Bangladesh,28161,Global Gender Gap Educational Attainment Subindex,Index,0.8681,0.8714,0.9093,0.9113,0.9139,0.9168,0.8575,0.8846,0.9402,0.948,0.95,0.9540000000000001,0.95,0.951,0.951
BGD,Bangladesh,28163,Global Gender Gap Health and Survival Subindex,Index,0.9495,0.9496,0.9496,0.95,0.9557,0.9557,0.9557,0.9557,0.9663,0.971,0.971,0.966,0.9690000000000001,0.9690000000000001,0.9640000000000001
BGR,Bulgaria,27959,Overall Global Gender Gap Index,Index,0.687,0.7085,0.7077,0.7072,0.6983,0.6987,0.7021,0.7097,0.7444,0.722,0.726,0.7559999999999999,0.7559999999999999,0.727,0.746
BGR,Bulgaria,27961,Global Gender Gap Political Empowerment subindex,Index,0.1666,0.1666,0.1641,0.1641,0.1372,0.1367,0.1409,0.1606,0.2764,0.215,0.215,0.34600000000000003,0.34600000000000003,0.225,0.275
BGR,Bulgaria,28159,Global Gender Gap Economic Participation and Opportunity Subindex,Index,0.6132,0.6992,0.6975,0.6935,0.6843,0.6867,0.696,0.7067,0.7288,0.701,0.716,0.71,0.708,0.715,0.738
BGR,Bulgaria,28161,Global Gender Gap Educational Attainment Subindex,Index,0.9889,0.9889,0.9901,0.9921,0.9925,0.9923,0.9924,0.9924,0.9934,0.992,0.993,0.99,0.9890000000000001,0.9890000000000001,0.991
BGR,Bulgaria,28163,Global Gender Gap Health and Survival Subindex,Index,0.9791,0.9791,0.9791,0.9791,0.9791,0.9791,0.9791,0.9791,0.9791,0.9790000000000001,0.9790000000000001,0.9790000000000001,0.9790000000000001,0.9790000000000001,0.972
BHR,Bahrain,27959,Overall Global Gender Gap Index,Index,0.5894,0.5931,0.5927,0.6136,0.6217,0.6232,0.6298,0.6334,0.6261,0.644,0.615,0.632,0.627,0.629,0.632
BHR,Bahrain,27961,Global Gender Gap Political Empowerment subindex,Index,0.0236,0.0315,0.0192,0.0192,0.0376,0.0376,0.0667,0.0667,0.0774,0.037000000000000005,0.037000000000000005,0.037000000000000005,0.037000000000000005,0.066,0.066
BHR,Bahrain,28159,Global Gender Gap Economic Participation and Opportunity Subindex,Index,0.3829,0.3903,0.3988,0.483,0.4967,0.5079,0.4967,0.5146,0.4803,0.597,0.475,0.537,0.515,0.51,0.518
BHR,Bahrain,28161,Global Gender Gap Educational Attainment Subindex,Index,0.9893,0.9893,0.9917,0.9911,0.9915,0.9862,0.9947,0.9911,0.9855,0.981,0.987,0.991,0.998,0.985,0.985
BHR,Bahrain,28163,Global Gender Gap Health and Survival Subindex,Index,0.9617,0.9612,0.9612,0.9612,0.9612,0.9612,0.9612,0.9612,0.9612,0.961,0.961,0.961,0.958,0.958,0.968
BOL,Bolivia,27959,Overall Global Gender Gap Index,Index,0.6335,0.6574,0.6667,0.6693,0.6751,0.6862,0.7222,0.7340000000000001,0.7049,0.7490000000000001,0.746,0.758,0.748,0.7340000000000001,0.722
BOL,Bolivia,27961,Global Gender Gap Political Empowerment subindex,Index,0.0875,0.0875,0.145,0.145,0.1735,0.1732,0.3175,0.3175,0.235,0.415,0.415,0.408,0.408,0.35700000000000004,0.35200000000000004
BOL,Bolivia,28159,Global Gender Gap Economic Participation and Opportunity Subindex,Index,0.5594,0.6072,0.5837,0.5906,0.5957,0.6352,0.6365,0.6841,0.6379,0.634,0.619,0.6920000000000001,0.63,0.623,0.595
BOL,Bolivia,28161,Global Gender Gap Educational Attainment Subindex,Index,0.917,0.968,0.9713,0.9746,0.9592,0.9646,0.9629,0.9623,0.9697,0.9670000000000001,0.97,0.956,0.976,0.98,0.981
BOL,Bolivia,28163,Global Gender Gap Health and Survival Subindex,Index,0.9703,0.9668,0.9668,0.9668,0.9719,0.9719,0.9719,0.9719,0.977,0.98,0.98,0.976,0.9790000000000001,0.9790000000000001,0.973
BRA,Brazil,27959,Overall Global Gender Gap Index,Index,0.6543,0.6637,0.6737,0.6695,0.6655,0.6679,0.6909,0.6949,0.6941,0.6859999999999999,0.687,0.684,0.6809999999999999,0.691,0.695
BRA,Brazil,27961,Global Gender Gap Political Empowerment subindex,Index,0.061,0.0617,0.0625,0.0625,0.0488,0.0526,0.1344,0.14400000000000002,0.1476,0.12300000000000001,0.132,0.10099999999999999,0.10099999999999999,0.133,0.138
BRA,Brazil,28159,Global Gender Gap Economic Participation and Opportunity Subindex,Index,0.6044,0.6449,0.6526,0.6369,0.6431,0.649,0.6499,0.6561,0.6491,0.642,0.64,0.655,0.645,0.653,0.665
BRA,Brazil,28161,Global Gender Gap Educational Attainment Subindex,Index,0.9724,0.9686,1.0,0.9991,0.9904,0.9904,1.0,1.0,1.0,1.0,0.998,1.0,1.0,1.0,1.0
BRA,Brazil,28163,Global Gender Gap Health and Survival Subindex,Index,0.9796,0.9796,0.9796,0.9796,0.9796,0.9796,0.9796,0.9796,0.9796,0.98,0.98,0.98,0.98,0.98,0.98
BWA,Botswana,27959,Overall Global Gender Gap Index,Index,0.6897,0.6797,0.6839,0.7071,0.6876,0.6832,0.6744,0.6752,0.7129,0.71,0.715,0.72,0.715,0.7090000000000001,0.716
BWA,Botswana,27961,Global Gender Gap Political Empowerment subindex,Index,0.1287,0.1287,0.1338,0.1338,0.0597,0.0595,0.0353,0.0353,0.0679,0.068,0.068,0.079,0.079,0.079,0.084
BWA,Botswana,28159,Global Gender Gap Economic Participation and Opportunity Subindex,Index,0.6926,0.6397,0.6492,0.742,0.7359,0.7185,0.7076,0.7108,0.8166,0.8,0.8190000000000001,0.8220000000000001,0.802,0.779,0.799
BWA,Botswana,28161,Global Gender Gap Educational Attainment Subindex,Index,0.9814,0.9979,0.9999,0.9999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
BWA,Botswana,28163,Global Gender Gap Health and Survival Subindex,Index,0.9561,0.9527,0.9527,0.9527,0.9549,0.9549,0.9549,0.9549,0.9671,0.973,0.973,0.978,0.98,0.98,0.965
CAN,Canada,27959,Overall Global Gender Gap Index,Index,0.7165,0.7198,0.7136,0.7196,0.7372,0.7407,0.7381,0.7425,0.7464,0.74,0.731,0.769,0.7709999999999999,0.772,0.772
CAN,Canada,27961,Global Gender Gap Political Empowerment subindex,Index,0.1592,0.1592,0.1343,0.1383,0.1959,0.2095,0.1959,0.1959,0.2233,0.218,0.222,0.361,0.365,0.365,0.381
CAN,Canada,28159,Global Gender Gap Economic Participation and Opportunity Subindex,Index,0.7296,0.7428,0.7441,0.7641,0.7768,0.7759,0.7877,0.7959,0.7928,0.773,0.732,0.7440000000000001,0.748,0.7509999999999999,0.741
CAN,Canada,28161,Global Gender Gap Educational Attainment Subindex,Index,0.9987,0.9987,0.9977,0.9977,0.9977,0.9989,0.9909,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CAN,Canada,28163,Global Gender Gap Health and Survival Subindex,Index,0.9784,0.9787,0.9783,0.9783,0.9784,0.9784,0.978,0.978,0.9694,0.9690000000000001,0.9690000000000001,0.97,0.971,0.971,0.968
CHE,Switzerland,27959,Overall Global Gender Gap Index,Index,0.6997,0.6924,0.736,0.7426,0.7562,0.7627,0.7672,0.7736,0.7798,0.785,0.7759999999999999,0.755,0.755,0.779,0.7979999999999999
CHE,Switzerland,27961,Global Gender Gap Political Empowerment subindex,Index,0.1535,0.1582,0.3273,0.3273,0.3352,0.3453,0.3525,0.361,0.3737,0.376,0.391,0.314,0.32,0.40700000000000003,0.494
CHE,Switzerland,28159,Global Gender Gap Economic Participation and Opportunity Subindex,Index,0.7091,0.6759999999999999,0.6631,0.6854,0.7267,0.7419,0.7518,0.7681,0.7797,0.7979999999999999,0.745,0.743,0.7390000000000001,0.746,0.743
CHE,Switzerland,28161,Global Gender Gap Educational Attainment Subindex,Index,0.9569,0.9569,0.9751,0.9792,0.9889,0.9899,0.9909,0.9919,0.9922,0.993,0.993,0.993,0.991,0.992,0.992
CHE,Switzerland,28163,Global Gender Gap Health and Survival Subindex,Index,0.9792,0.9784,0.9784,0.9784,0.9738,0.9738,0.9738,0.9733,0.9737,0.9740000000000001,0.9740000000000001,0.972,0.97,0.97,0.98
CHL,Chile,27959,Overall Global Gender Gap Index,Index,0.6455,0.6482,0.6818,0.6884,0.7013,0.703,0.6676,0.667,0.6975,0.698,0.6990000000000001,0.7040000000000001,0.7170000000000001,0.723,0.716
CHL,Chile,27961,Global Gender Gap Political Empowerment subindex,Index,0.1087,0.11599999999999999,0.2467,0.2566,0.2957,0.2958,0.1448,0.1448,0.2589,0.243,0.254,0.266,0.307,0.307,0.28300000000000003
CHL,Chile,28159,Global Gender Gap Economic Participation and Opportunity Subindex,Index,0.5138,0.5172,0.5154,0.5213,0.5338,0.5411,0.5475,0.5445,0.5523,0.57,0.565,0.573,0.585,0.608,0.61
CHL,Chile,28161,Global Gender Gap Educational Attainment Subindex,Index,0.9799,0.9799,0.9856,0.9961,0.9963,0.9957,0.9986,0.9993,0.9997,1.0,0.9990000000000001,0.9990000000000001,0.9990000000000001,1.0,1.0
CHL,Chile,28163,Global Gender Gap Health and Survival Subindex,Index,0.9796,0.9796,0.9796,0.9796,0.9796,0.9796,0.9796,0.9796,0.9792,0.9790000000000001,0.9790000000000001,0.978,0.977,0.977,0.968
CHN,China,27959,Overall Global Gender Gap Index,Index,0.6559999999999999,0.6643,0.6878,0.6907,0.6881,0.6866,0.6853,0.6908,0.6829999999999999,0.682,0.6759999999999999,0.674,0.6729999999999999,0.6759999999999999,0.682
CHN,China,27961,Global Gender Gap Political Empowerment subindex,Index,0.1107,0.1107,0.1408,0.1408,0.1495,0.1496,0.1496,0.1604,0.1506,0.162,0.162,0.16,0.16399999999999998,0.154,0.11800000000000001
CHN,China,28159,Global Gender Gap Economic Participation and Opportunity Subindex,Index,0.6206,0.6478,0.6915,0.6955,0.6927,0.6825,0.6753,0.6752,0.6555,0.657,0.6559999999999999,0.654,0.653,0.6509999999999999,0.701
CHN,China,28161,Global Gender Gap Educational Attainment Subindex,Index,0.9574,0.9574,0.9778,0.9797,0.981,0.9815,0.9819,0.988,0.9855,0.988,0.9670000000000001,0.963,0.958,0.973,0.973
CHN,China,28163,Global Gender Gap Health and Survival Subindex,Index,0.9355,0.941,0.941,0.9467,0.929,0.9327,0.9344,0.9398,0.9404,0.919,0.919,0.9179999999999999,0.915,0.9259999999999999,0.965
COL,Colombia,27959,Overall Global Gender Gap Index,Index,0.7049,0.7090000000000001,0.6944,0.6939,0.6927,0.6714,0.6901,0.7171,0.7122,0.725,0.727,0.731,0.7290000000000001,0.758,0.725
COL,Colombia,27961,Global Gender Gap Political Empowerment subindex,Index,0.1799,0.1657,0.1026,0.1026,0.1018,0.1125,0.1662,0.1662,0.1628,0.18,0.18,0.20600000000000002,0.203,0.318,0.21600000000000003
COL,Colombia,28159,Global Gender Gap Economic Participation and Opportunity Subindex,Index,0.6605,0.691,0.6966,0.6940000000000001,0.6941,0.5984,0.6207,0.7275,0.7107,0.746,0.7490000000000001,0.74,0.733,0.735,0.708
COL,Colombia,28161,Global Gender Gap Educational Attainment Subindex,Index,0.9996,0.9996,0.9987,0.9996,0.9956,0.9955,0.9944,0.9954,0.9961,0.9940000000000001,0.9990000000000001,1.0,1.0,1.0,1.0
COL,Colombia,28163,Global Gender Gap Health and Survival Subindex,Index,0.9796,0.9796,0.9796,0.9796,0.9791,0.9791,0.9791,0.9791,0.9791,0.9790000000000001,0.9790000000000001,0.98,0.98,0.98,0.968
CRI,Costa Rica,27959,Overall Global Gender Gap Index,Index,0.6936,0.7014,0.7111,0.718,0.7194,0.7266,0.7225,0.7241,0.7165,0.732,0.736,0.727,0.7490000000000001,0.782,0.7859999999999999
CRI,Costa Rica,27961,Global Gender Gap Political Empowerment subindex,Index,0.2771,0.2771,0.2833,0.2833,0.3287,0.3382,0.3164,0.3263,0.2758,0.365,0.365,0.314,0.406,0.545,0.545
CRI,Costa Rica,28159,Global Gender Gap Economic Participation and Opportunity Subindex,Index,0.5223,0.5536,0.586,0.6136,0.5787,0.5935,0.5987,0.5955,0.6155,0.5870000000000001,0.606,0.62,0.614,0.607,0.624
CRI,Costa Rica,28161,Global Gender Gap Educational Attainment Subindex,Index,0.9954,0.9954,0.9954,0.9954,0.9954,1.0,1.0,1.0,1.0,1.0,1.0,0.9990000000000001,1.0,1.0,1.0
CRI,Costa Rica,28163,Global Gender Gap Health and Survival Subindex,Index,0.9796,0.9796,0.9796,0.9796,0.9747,0.9747,0.9747,0.9747,0.9747,0.975,0.975,0.9740000000000001,0.977,0.977,0.977
CYP,Cyprus,27959,Overall Global Gender Gap Index,Index,0.643,0.6522,0.6694,0.6706,0.6642,0.6567,0.6732,0.6801,0.6741,0.6709999999999999,0.684,0.684,0.684,0.6920000000000001,0.7070000000000001
CYP,Cyprus,27961,Global Gender Gap Political Empowerment subindex,Index,0.0517,0.0517,0.1066,0.1066,0.069,0.0618,0.1298,0.1298,0.069,0.069,0.1,0.092,0.092,0.122,0.177
CYP,Cyprus,28159,Global Gender Gap Economic Participation and Opportunity Subindex,Index,0.5618,0.6021,0.61,0.6168,0.63,0.6175,0.6149,0.6353,0.6559999999999999,0.643,0.665,0.679,0.679,0.6809999999999999,0.6940000000000001
CYP,Cyprus,28161,Global Gender Gap Educational Attainment Subindex,Index,0.9893,0.9893,0.9954,0.9933,0.9879,0.9776,0.978,0.9853,0.9978,0.998,0.998,0.998,0.998,0.998,0.998
CYP,Cyprus,28163,Global Gender Gap Health and Survival Subindex,Index,0.9693,0.9657,0.9657,0.9657,0.9701,0.9701,0.9701,0.9701,0.9738,0.9740000000000001,0.9740000000000001,0.966,0.9670000000000001,0.9670000000000001,0.966
CZE,Czech Republic,27959,Overall Global Gender Gap Index,Index,0.6712,0.6718,0.677,0.6789,0.685,0.6789,0.6767,0.677,0.6737,0.687,0.69,0.688,0.693,0.706,0.711
CZE,Czech Republic,27961,Global Gender Gap Political Empowerment subindex,Index,0.0877,0.0877,0.0921,0.0921,0.1403,0.1403,0.1254,0.1254,0.094,0.134,0.134,0.13,0.14,0.18899999999999997,0.203
CZE,Czech Republic,28159,Global Gender Gap Economic Participation and Opportunity Subindex,Index,0.627,0.6295,0.6366,0.6443,0.6205,0.5961,0.6026,0.6039,0.6216,0.636,0.647,0.643,0.6509999999999999,0.657,0.662
CZE,Czech Republic,28161,Global Gender Gap Educational Attainment Subindex,Index,0.9908,0.9908,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CZE,Czech Republic,28163,Global Gender Gap Health and Survival Subindex,Index,0.9791,0.9791,0.9791,0.9791,0.9792,0.9792,0.9788,0.9788,0.9791,0.9790000000000001,0.9790000000000001,0.98,0.98,0.98,0.9670000000000001
DEU,Germany,27959,Overall Global Gender Gap Index,Index,0.7524,0.7618,0.7394,0.7449,0.753,0.759,0.7629,0.7583,0.778,0.779,0.7659999999999999,0.778,0.7759999999999999,0.787,0.7959999999999999
DEU,Germany,27961,Global Gender Gap Political Empowerment subindex,Index,0.3657,0.3738,0.2962,0.3105,0.3251,0.3364,0.3488,0.3611,0.3998,0.413,0.428,0.447,0.418,0.47700000000000004,0.509
DEU,Germany,28159,Global Gender Gap Economic Participation and Opportunity Subindex,Index,0.6694,0.6997,0.6877,0.6956,0.7138,0.727,0.7399,0.7120000000000001,0.7388,0.737,0.691,0.72,0.7340000000000001,0.723,0.706
DEU,Germany,28161,Global Gender Gap Educational Attainment Subindex,Index,0.9954,0.9954,0.9954,0.9953,0.9945,0.9942,0.9848,0.9818,0.9995,0.987,0.966,0.97,0.976,0.972,0.997
DEU,Germany,28163,Global Gender Gap Health and Survival Subindex,Index,0.9791,0.9783,0.9783,0.9783,0.9784,0.9784,0.978,0.978,0.9739,0.9790000000000001,0.9790000000000001,0.975,0.973,0.973,0.9620000000000001
DNK,Denmark,27959,Overall Global Gender Gap Index,Index,0.7462,0.7519,0.7538,0.7628,0.7719,0.7778,0.7777,0.7779,0.8025,0.767,0.754,0.7759999999999999,0.778,0.782,0.768
DNK,Denmark,27961,Global Gender Gap Political Empowerment subindex,Index,0.3045,0.3045,0.33399999999999996,0.33399999999999996,0.3695,0.3696,0.3645,0.3738,0.4306,0.309,0.309,0.406,0.406,0.42100000000000004,0.371
DNK,Denmark,28159,Global Gender Gap Economic Participation and Opportunity Subindex,Index,0.7081,0.7336,0.7116,0.7477,0.7438,0.7672,0.7724,0.7639,0.8053,0.7879999999999999,0.735,0.728,0.7340000000000001,0.735,0.736
DNK,Denmark,28161,Global Gender Gap Educational Attainment Subindex,Index,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DNK,Denmark,28163,Global Gender Gap Health and Survival Subindex,Index,0.9723,0.9696,0.9696,0.9696,0.9743,0.9743,0.9739,0.9739,0.9741,0.97,0.97,0.971,0.971,0.971,0.98
DOM,Dominican Republic,27959,Overall Global Gender Gap Index,Index,0.6639,0.6705,0.6744,0.6859,0.6774,0.6682,0.6659,0.6867,0.6906,0.6859999999999999,0.6759999999999999,0.6970000000000001,0.701,0.7,0.6990000000000001
DOM,Dominican Republic,27961,Global Gender Gap Political Empowerment subindex,Index,0.1172,0.1172,0.1172,0.1172,0.087,0.1049,0.1184,0.1184,0.1283,0.14,0.085,0.179,0.179,0.163,0.172
DOM,Dominican Republic,28159,Global Gender Gap Economic Participation and Opportunity Subindex,Index,0.5589999999999999,0.5851,0.6008,0.647,0.6516,0.5969,0.6052,0.6751,0.6794,0.648,0.6579999999999999,0.638,0.65,0.66,0.6459999999999999
DOM,Dominican Republic,28161,Global Gender Gap Educational Attainment Subindex,Index,1.0,1.0,1.0,1.0,1.0,1.0,0.9688,0.9822,0.9842,0.9840000000000001,0.9890000000000001,0.991,0.997,0.998,1.0
DOM,Dominican Republic,28163,Global Gender Gap Health and Survival Subindex,Index,0.9796,0.9796,0.9796,0.9796,0.9711,0.9711,0.9711,0.9711,0.9706,0.971,0.971,0.98,0.98,0.98,0.98
DZA,Algeria,27959,Overall Global Gender Gap Index,Index,0.6018,0.6068,0.6111,0.6119,0.6052,0.5991,0.6112,0.5966,0.6182,0.632,0.642,0.629,0.629,0.634,0.633
DZA,Algeria,27961,Global Gender Gap Political Empowerment subindex,Index,0.0495,0.0495,0.0558,0.0558,0.035,0.035,0.1511,0.1511,0.1772,0.205,0.205,0.145,0.145,0.145,0.151
DZA,Algeria,28159,Global Gender Gap Economic Participation and Opportunity Subindex,Index,0.4428,0.4643,0.46799999999999997,0.4697,0.4666,0.4452,0.3776,0.3307,0.39299999999999996,0.41,0.435,0.442,0.452,0.461,0.456
DZA,Algeria,28161,Global Gender Gap Educational Attainment Subindex,Index,0.9438,0.9422,0.9491,0.9505,0.953,0.9502,0.9499,0.9387,0.9363,0.946,0.9620000000000001,0.9570000000000001,0.9570000000000001,0.966,0.966
DZA,Algeria,28163,Global Gender Gap Health and Survival Subindex,Index,0.9712,0.9714,0.9714,0.9714,0.9661,0.9661,0.9661,0.9661,0.9661,0.966,0.966,0.97,0.9620000000000001,0.9620000000000001,0.948
